id,省市代碼,縣市代碼,鄉鎮市區代碼,投開票所,選舉人數
4947,10,14,10,1,933
4948,10,14,10,2,722
4949,10,14,10,3,1154
4950,10,14,10,4,1033
4951,10,14,10,5,859
4952,10,14,10,6,854
4953,10,14,10,7,1080
4954,10,14,10,8,928
4955,10,14,10,9,863
4956,10,14,10,10,912
4957,10,14,10,11,838
4958,10,14,10,12,902
4959,10,14,10,13,731
4960,10,14,10,14,738
4961,10,14,10,15,776
4962,10,14,10,16,984
4963,10,14,10,17,1013
4964,10,14,10,18,979
4965,10,14,10,19,777
4966,10,14,10,20,1060
4967,10,14,10,21,981
4968,10,14,10,22,1033
4969,10,14,10,23,1064
4970,10,14,10,24,784
4971,10,14,10,25,830
4972,10,14,10,26,1043
4973,10,14,10,27,1328
4974,10,14,10,28,1002
4975,10,14,10,29,1021
4976,10,14,10,30,949
4977,10,14,10,31,1085
4978,10,14,10,32,1123
4979,10,14,10,33,1093
4980,10,14,10,34,835
4981,10,14,10,35,819
4982,10,14,10,36,948
4983,10,14,10,37,1098
4984,10,14,10,38,1094
4985,10,14,10,39,857
4986,10,14,10,40,877
4987,10,14,10,41,1098
4988,10,14,10,42,932
4989,10,14,10,43,885
4990,10,14,10,44,957
4991,10,14,10,45,804
4992,10,14,10,46,831
4993,10,14,10,47,575
4994,10,14,10,48,716
4995,10,14,10,49,604
4996,10,14,10,50,1021
4997,10,14,10,51,881
4998,10,14,10,52,869
4999,10,14,10,53,826
5000,10,14,10,54,829
5001,10,14,10,55,867
5002,10,14,10,56,779
5003,10,14,10,57,1049
5004,10,14,10,58,1056
5005,10,14,10,59,1003
5006,10,14,10,60,1293
5007,10,14,10,61,859
5008,10,14,10,62,876
5009,10,14,10,63,860
5010,10,14,10,64,1029
5011,10,14,10,65,823
5012,10,14,10,66,922
5013,10,14,10,67,1009
5014,10,14,10,68,925
5015,10,14,10,69,977
5016,10,14,10,70,1050
5017,10,14,10,71,1136
5018,10,14,10,72,1061
5019,10,14,10,73,1105
5020,10,14,10,74,1115
5021,10,14,10,75,1139
5022,10,14,10,76,1069
5023,10,14,10,77,1169
5024,10,14,10,78,622
5025,10,14,10,79,623
5026,10,14,10,80,1154
